School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
North Carolina A & T State University,"Greensboro, NC",17300,11100,64,3,50300,900,19,900 / 19,1
Assumption College,"Worcester, MA",51900,29200,77,20,49600,1230,25,1230 / 25,0
University of St. Thomas,"Saint Paul, MN",51600,33400,56,12,47600,1160,26,1160 / 26,0
Southwestern University,"Georgetown, TX",51100,27900,63,35,48100,1170,26,1170 / 26,0
St Mary's College of Maryland,"St. Mary's City, MD",29700,18700,37,24,44800,1220,28,1220 / 28,1
Florida State University,"Tallahassee, FL",22500,18200,35,11,42600,1200,27,1200 / 27,1
University of Idaho,"Moscow, ID",20400,15700,50,18,46400,1070,23,1070 / 23,1
University of Nebraska at Kearney,"Kearney, NE",21400,15900,51,17,39200,970,23,970 / 23,1
University of Iowa,"Iowa City, IA",21700,15600,32,8,46800,1230,27,1230 / 27,1
Edgewood College,"Madison, WI",39800,24100,75,18,47600,1150,23,1150 / 23,0
Skidmore College,"Saratoga Springs, NY",65300,26500,44,1,45500,1240,28,1240 / 28,0
Saint Anselm College,"Manchester, NH",54200,33800,72,23,50000,1150,25,1150 / 25,0
Saint Mary's College,"Notre Dame, IN",51300,28900,57,33,45200,1100,26,1100 / 26,0
Dordt College,"Sioux Center, IA",41700,26400,70,24,45000,1100,25,1100 / 25,0
Westminster College-New Wilmington,"New Wilmington, PA",47700,23600,79,16,37900,1040,23,1040 / 23,0
Auburn University,"Auburn University, AL",30300,20200,28,20,49000,1170,27,1170 / 27,1
Furman University,"Greenville, SC",61400,33400,43,41,45000,1230,28,1230 / 28,0
Texas Tech University,"Lubbock, TX",23300,15200,43,10,51600,1110,25,1110 / 25,1
Pepperdine University,"Malibu, CA",66000,30100,54,21,48100,1240,26,1240 / 26,0
University of Massachusetts Amherst,"Amherst, MA",27900,20500,51,12,49400,1210,27,1210 / 27,1
University of Evansville,"Evansville, IN",47800,23100,64,23,47000,1110,26,1110 / 26,0
Marquette University,"Milwaukee, WI",52300,35900,56,39,51200,1180,27,1180 / 27,0
Beloit College,"Beloit, WI",54400,26400,68,29,37900,1230,27,1230 / 27,0
Macalester College,"Saint Paul, MN",62200,30500,69,10,42600,1340,31,1340 / 31,0
Carleton College,"Northfield, MN",65000,34900,55,6,44800,1430,31,1430 / 31,0
Moravian College and Moravian Theological Seminary,"Bethlehem, PA",53700,28600,83,20,47000,1130,22,1130 / 22,0
San Jose State University,"San Jose, CA",26300,11700,51,,54600,1030,22,1030 / 22,1
Nebraska Wesleyan University,"Lincoln, NE",42600,22900,70,27,41900,1100,24,1100 / 24,0
Pennsylvania State University-Main Campus,"University Park, PA",36000,26400,26,10,53500,1200,27,1200 / 27,1
Rockhurst University,"Kansas City, MO",49500,21500,47,16,47700,1150,26,1150 / 26,0
Linfield College-McMinnville Campus,"McMinnville, OR",51800,28100,61,20,43900,1090,24,1090 / 24,0
University of Redlands,"Redlands, CA",63300,33300,,,46100,1130,25,1130 / 25,0
Lewis University,"Romeoville, IL",42300,20500,73,17,45800,1030,24,1030 / 24,0
University of Wisconsin-Stevens Point,"Stevens Point, WI",17700,12600,42,6,40800,1190,23,1190 / 23,1
Calvin College,"Grand Rapids, MI",44300,28300,61,31,44000,1180,26,1180 / 26,0
North Dakota State University-Main Campus,"Fargo, ND",20700,15500,33,16,49600,1130,24,1130 / 24,1
Cedarville University,"Cedarville, OH",36900,25500,59,26,44900,1180,27,1180 / 27,0
Valparaiso University,"Valparaiso, IN",49700,24000,73,19,47700,1110,26,1110 / 26,0
Tennessee State University,"Nashville, TN",19800,9700,68,4,44300,1020,20,1020 / 20,1
Appalachian State University,"Boone, NC",20200,12500,36,3,40600,1150,26,1150 / 26,1
University of Minnesota-Morris,"Morris, MN",24100,15700,60,12,38900,1200,26,1200 / 26,1
Oregon State University,"Corvallis, OR",25600,17900,43,13,48600,1100,24,1100 / 24,1
Aurora University,"Aurora, IL",35300,18700,66,19,41200,1020,22,1020 / 22,0
Louisiana Tech University,"Ruston, LA",19400,10100,35,22,47600,1070,24,1070 / 24,1
Clark University,"Worcester, MA",52300,26600,59,33,41800,1300,27,1300 / 27,0
Illinois Institute of Technology,"Chicago, IL",59500,24500,54,36,59000,1270,28,1270 / 28,0
Ramapo College of New Jersey,"Mahwah, NJ",30600,17200,30,4,42100,1100,23,1100 / 23,1
Hamline University,"Saint Paul, MN",49800,23800,83,15,43800,1110,24,1110 / 24,0
Hanover College,"Hanover, IN",47600,24000,76,22,42100,1100,26,1100 / 26,0
Goshen College,"Goshen, IN",43900,21400,71,24,35900,1100,26,1100 / 26,0
